Influencer ID,Category,Tiktok Category,Related Influencer ID,Follower Count, Average View Count
tiannalasagna,Art,Art,_good_vibes_art_,506840,188709
tiannalasagna,Art,Art,cgpl_art,549894,69865
tiannalasagna,Art,Art,jlauserart,1276328,119824
tiannalasagna,Art,Art,potatoblu,238331,310496
tiannalasagna,Art,Art,heyshedraws,390829,54944
trav_carves,Art,Art|Vlog,humphreytalks,2284911,385242
trav_carves,Art,Art|Vlog,thedawndishsoap,2127481,310542
trav_carves,Art,Art|Vlog,carterjcollins,1097424,42833
trav_carves,Art,Art|Vlog,microsyko,445104,341878
trav_carves,Art,Art|Vlog,king.nubs,420833,10581
trav_carves,Art,Art|Vlog,michellefinancialcoach,446373,11627
trav_carves,Art,Art|Vlog,potterybydanielle,143586,24794
trav_carves,Art,Art|Vlog,abram_draws,362930,18884
trav_carves,Art,Art|Vlog,ronilangley,2443261,59897
will.snell.683,Art,Art,oliviaoomenart,106241,9699
will.snell.683,Art,Art,kianasj,122059,2587
will.snell.683,Art,Art,savannalore,238001,39563
will.snell.683,Art,Art,emmy_ga,199967,164307
will.snell.683,Art,Art,brandonjohnsontaxidermy,175547,56338
will.snell.683,Art,Art,artobsessedmoron,143634,5142
will.snell.683,Art,Art,thiswritingdesk,53873,5011
will.snell.683,Art,Art,jr_creates,161076,3392
will.snell.683,Art,Art,dungeonmastersdiary,127901,4262
